Author	Species	Plant_taxonomy	Plant_type	Longitude	Latitude	Elevation	Measurement_year	Vcmax_reported	Jmax_reported 	Vcmax_25C	Jmax_25C	Leaf_N 	Leaf_P	SLA	Needle_age	Treatment_CO2	Treatment_N	Treatment_P	Treatment_light	Treatment_other	Treatment_other_levels	Measurement_temperature	Photosynthetic_reference	Kinetic_reference	Km	Kc	Ko	Tau	Gamma_star	Wj_reference	J_reference	J_flag	Irradiance	Alpha	Theta	O2_reported	Notes
Domingues et al 2010	Cochlospermum planchoni	A	D	-3.15	10.94	300	2006	162.2	165.66	63.29	108.84	1.45	0.11	0.012	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	35	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Anogeissus leiocarpus	A	D	-1.7	7.72	200	2006	111.1	127.78	42.85	82.84	1.44	0.15	0.012	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	35.28	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Blighia sapida	A	SD	-1.7	7.72	200	2006	48.47	75.12	23.81	52.69	1.93	0.1	0.013	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	31.98	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Albizia ferruginea	A	D	-1.7	7.72	200	2006	46.72	77.95	22.79	54.52	2.4	0.09	0.013	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.07	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Acacia dudgeoni	A	D	-1.17	12.73	250	2006	133.96	152.59	55.71	101.82	2.27	0.1	0.013	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	34.14	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Triplochiton scleroxylon	A	D	-2.45	7.14	25	2006	70.86	103.05	40.9	78.56	2.32	0.13	0.014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	30.14	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Trilepsium madagascariense	A	E	-1.7	7.72	200	2006	54.38	67.77	27.35	48.02	1.55	0.15	0.014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	31.68	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Corynanthe pachycaras	A	E	-2.45	7.14	25	2006	45.35	61.38	22.75	43.26	1.78	0.06	0.014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	31.87	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Combretum micranthum	A	D	-1.17	12.73	250	2006	126.76	141.55	54.43	95.25	2.07	0.12	0.014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	33.7	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Acacia gourmaensis	A	D	-1.17	12.73	250	2006	144.37	148.86	56.19	97.25	1.93	0.11	0.014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	35.09	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Cola caricifolia	A	E	-1.7	7.72	200	2006	66.93	77.29	32.35	53.83	2.06	0.13	0.015	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.19	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Adansonia digitata	A	D	-1.7	7.72	200	2006	83.18	130.88	37.16	89.14	1.49	0.17	0.015	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	33.21	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Pterocarpus erinaceus	A	D	-1.18	7.3	170	2006	80.31	103.58	34.04	68.69	1.69	0.13	0.015	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	33.96	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Acacia senegal	A	D	-1.5	15.34	280	2006	172.36	176.42	67.57	116.45	3.06	0.16	0.015	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	34.95	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Pyncanthus angloensis	A	E	-1.7	7.72	200	2006	76.27	99.91	35.01	68.32	1.79	0.09	0.016	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.86	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Bosqueia angloensis	A	SD	-1.7	7.72	200	2006	60.79	66.98	26.95	44.91	1.27	0.07	0.016	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	33.31	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Anogeissus leiocarpus	A	D	-1.17	12.73	250	2006	107.73	123.75	45.25	82.23	1.25	0.09	0.016	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	34	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Nesogordonia papaveriferum	A	SD	-2.45	7.14	25	2006	41.65	60.81	26.7	48.64	1.66	0.07	0.017	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	28.9	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Holarrhena floribunda	A	SD	-1.7	7.72	200	2006	53.87	95.21	26.18	66.7	1.66	0.12	0.017	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.12	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Anogeissus leiocarpus	A	D	-1.7	7.72	200	2006	67.93	113.17	30.89	77.3	1.4	0.1	0.017	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.98	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Holarrhena floribunda	A	SD	-1.7	7.72	200	2006	85.62	112.71	38.32	76.48	1.35	0.11	0.018	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	33.19	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Hymenostegia afzelii	A	E	-2.45	7.14	25	2006	33.66	47.52	19.89	36.3	1.76	0.08	0.019	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	29.86	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
Domingues et al 2010	Chromolaena odorata	A	D	-1.18	7.3	170	2006	126.82	132.17	44.44	84.7	1.06	0.09	0.026	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	36.84	Bernacchi et al 2003	Von Caemmerer 2000; Jordan and Ogren 1984	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	not applicable	yes	2000	-9999.99	-9999.99	21	
